index,age,departement,categorie_socio_professionnelle,type_de_bien,statut,surface,montant_assure,debut_contrat,nb_sinistres_depuis_ouverture,ouverture_dernier_sinistre,cloture_dernier_sinistre,cotisation_n-1,cotisation_n,target
0,46.0,92,"Artisans, commerçants, chefs d'entreprise",Appartement,Occupant à titre gratuit,65.3,15074.0,1996-02-04 00:00:00,2.0,1999-06-23 18:33:38,1999-08-16 18:33:38,222.22,235.18,0
1,30.0,93,Employés,Appartement,Propriétaire,61.96,29868.0,1997-12-15 00:00:00,1.0,1999-03-29 18:54:35,1999-04-28 18:54:35,191.55,193.06,0
2,26.0,70,"Artisans, commerçants, chefs d'entreprise",Maison,Locataire,121.87,23310.0,2007-12-03 00:00:00,2.0,2008-09-10 11:50:29,2009-01-21 11:50:29,376.53,376.53,0
3,37.0,86,Employés,Maison,Propriétaire,73.85,16432.0,2014-02-16 00:00:00,1.0,2017-07-31 13:42:48,2017-09-25 13:42:48,364.31,394.98,1
4,29.0,18,Cadres et professions intellectuelles supérieures,Appartement,Locataire,64.34,15943.0,1995-02-17 00:00:00,2.0,1998-07-27 12:39:12,1998-10-28 12:39:12,232.28,245.56,0
5,22.0,08,Cadres et professions intellectuelles supérieures,Maison,Locataire,96.2,18678.0,2012-11-08 00:00:00,1.0,2016-12-25 07:49:07,2017-02-08 07:49:07,360.96,366.66,0
6,15.0,78,Cadres et professions intellectuelles supérieures,Appartement,Occupant à titre gratuit,57.73,28578.0,2004-10-11 00:00:00,1.0,2009-08-23 15:59:50,2009-12-19 15:59:50,245.56,246.03,0
7,31.0,77,Employés,Maison,Propriétaire,87.58,32808.0,2000-02-26 00:00:00,2.0,2003-02-27 04:37:48,2003-04-17 04:37:48,369.11,385.15,1
8,36.0,85,Employés,Maison,Locataire,104.94,16700.0,2004-01-08 00:00:00,1.0,2008-03-08 18:30:54,2008-04-15 18:30:54,405.67,454.9,0
9,55.0,67,Agriculteurs exploitants,Appartement,Propriétaire,76.59,22078.0,2019-08-27 00:00:00,2.0,2020-12-11 14:01:01,2020-12-22 14:01:01,223.86,237.23,0
10,46.0,14,"Artisans, commerçants, chefs d'entreprise",Appartement,Propriétaire,87.98,16733.0,2018-11-11 00:00:00,0.0,,,214.37,214.38,0
11,65.0,94,"Artisans, commerçants, chefs d'entreprise",Maison,Propriétaire,151.76,24477.0,2014-10-08 00:00:00,3.0,2019-07-06 06:16:10,2019-08-08 06:16:10,388.7,399.45,0
12,65.0,69,Agriculteurs exploitants,Appartement,Propriétaire,67.23,14303.0,2000-09-13 00:00:00,1.0,2001-08-05 09:17:16,2001-08-06 09:17:16,224.67,226.88,0
13,16.0,62,Cadres et professions intellectuelles supérieures,Appartement,Locataire,61.93,8261.0,2015-02-02 00:00:00,1.0,2019-05-05 00:48:38,2019-08-28 00:48:38,217.7,226.34,0
14,52.0,93,Ouvriers,Appartement,Locataire,85.41,31095.0,2001-03-10 00:00:00,3.0,2002-10-29 02:26:26,2002-10-30 02:26:26,247.78,261.18,0
15,34.0,77,Cadres et professions intellectuelles supérieures,Maison,Propriétaire,150.36,20142.0,2019-06-07 00:00:00,2.0,2020-07-03 05:37:15,2020-10-01 05:37:15,375.04,382.49,0
16,31.0,78,Employés,Appartement,Locataire,64.78,15528.0,2014-04-01 00:00:00,2.0,2014-08-29 15:09:27,2014-12-18 15:09:27,228.48,232.77,0
17,46.0,52,"Artisans, commerçants, chefs d'entreprise",Maison,Locataire,122.57,18658.0,1997-12-26 00:00:00,0.0,,,397.76,400.48,0
18,45.0,91,Employés,Appartement,Locataire,68.62,21505.0,2000-02-13 00:00:00,2.0,2004-01-15 07:59:08,2004-03-31 07:59:08,211.38,236.92,0
19,45.0,78,Employés,Maison,Propriétaire,146.18,17997.0,2017-01-25 00:00:00,2.0,2017-02-09 12:22:08,2017-08-08 12:22:08,344.8,351.86,1
20,30.0,80,Ouvriers,Appartement,Locataire,84.26,9916.0,2010-07-24 00:00:00,2.0,2013-11-22 23:20:26,2014-02-23 23:20:26,214.54,245.51,0
21,50.0,64,Employés,Maison,Locataire,99.09,35393.0,1997-01-09 00:00:00,0.0,,,355.56,356.38,0
22,36.0,04,Cadres et professions intellectuelles supérieures,Appartement,Locataire,82.5,34187.0,2017-11-01 00:00:00,1.0,2020-07-11 23:44:10,2020-10-03 23:44:10,228.94,243.75,0
23,47.0,58,Agriculteurs exploitants,Appartement,Locataire,80.24,16757.0,2011-09-15 00:00:00,2.0,2016-08-26 06:36:21,2016-10-18 06:36:21,218.97,228.22,0
24,64.0,70,Ouvriers,Maison,Propriétaire,109.56,32210.0,2018-03-11 00:00:00,2.0,2020-10-15 05:00:19,2020-11-28 05:00:19,367.49,386.14,0
